     0   0.929389 -0.00105648 0.92833292
   2.5   0.358447   0.960973 -0.0297479 0.93122523
  2.51    0.36488   0.960338 -0.0292243 0.93111391
  2.52   0.370833   0.959652 -0.0286506 0.93100122
  2.53   0.376345   0.958935 -0.0280479 0.93088744
  2.54   0.381451   0.958207 -0.0274337 0.93077289
  2.55   0.386187    0.95748 -0.0268222 0.93065795
  2.56   0.390582   0.956767 -0.0262242   0.930543
  2.57   0.394665   0.956076 -0.0256476 0.93042845
  2.58   0.398461   0.955413 -0.0250982 0.93031468
  2.59   0.401995   0.954782 -0.0245799 0.93020209
   2.6   0.405287   0.954186 -0.0240953 0.93009106
  2.61   0.408357   0.953628 -0.0236461 0.92998196
  2.62   0.411223   0.953108 -0.0232333 0.92987516
  2.63   0.413902   0.952628 -0.0228573 0.92977102
  2.64   0.416408   0.952188 -0.0225181 0.92966989
  2.65   0.418755   0.951788 -0.0222158 0.92957209
  2.66   0.420956   0.951428 -0.0219499 0.92947795
  2.67    0.42302   0.951108 -0.0217204 0.92938777
  2.68    0.42496   0.950828 -0.0215267 0.92930184
  2.69   0.426785   0.950589 -0.0213685 0.92922042
   2.7   0.428502   0.950389 -0.0212456 0.92914375
  2.71    0.43012    0.95023 -0.0211576 0.92907205
  2.72   0.431647    0.95011 -0.0211042 0.92900551
  2.73   0.433088    0.95003 -0.0210853  0.9289443
  2.74   0.434451   0.949989 -0.0211005 0.92888854
  2.75    0.43574   0.949988 -0.0211497 0.92883834
  2.76   0.436962   0.950026 -0.0212325 0.92879378
  2.77   0.438119   0.950103 -0.0213485 0.92875487
  2.78   0.439218   0.950219 -0.0214972 0.92872165
  2.79   0.440262   0.950372 -0.0216779 0.92869407
   2.8   0.441254   0.950562 -0.0218894 0.92867208
  2.81   0.442199   0.950786 -0.0221304 0.92865559
  2.82   0.443099   0.951043 -0.0223988 0.92864448
  2.83   0.443957    0.95133 -0.0226917 0.92863862
  2.84   0.444776   0.951643 -0.0230055 0.92863782
  2.85   0.445558   0.951977 -0.0233353 0.92864191
  2.86   0.446307   0.952326  -0.023675 0.92865066
  2.87   0.447023   0.952681 -0.0240171 0.92866386
  2.88   0.447709   0.953034 -0.0243523 0.92868131
  2.89   0.448367   0.953373 -0.0246706 0.92870281
   2.9      0.449   0.953696 -0.0249611 0.92873441
  2.91   0.449608    0.95399 -0.0252139 0.92877605
  2.92   0.450193   0.954243 -0.0254216 0.92882148
  2.93   0.450755   0.954453 -0.0255824 0.92887065
  2.94   0.451298   0.954627 -0.0257033 0.92892351
  2.95   0.451821   0.954782 -0.0258026 0.92897989
  2.96   0.452326   0.954951 -0.0259116 0.92903938
  2.97   0.452813   0.955173  -0.026072 0.92910129
  2.98   0.453285   0.955495   -0.02633 0.92916467
  2.99   0.453741   0.955954 -0.0267257 0.92922852
     3   0.454184   0.956576 -0.0272837 0.92929214
  3.01   0.454612   0.957361 -0.0280054 0.92935528
  3.02   0.455029   0.958288 -0.0288697  0.9294182
  3.03   0.455433    0.95932 -0.0298388  0.9294814
  3.04   0.455826   0.960414 -0.0308688 0.92954534
  3.05   0.456209   0.961529 -0.0319185 0.92961022
  3.06   0.456581   0.962631 -0.0329554 0.92967595
  3.07   0.456945   0.963699 -0.0339565 0.92974218
  3.08     0.4573   0.964715 -0.0349066 0.92980849
  3.09   0.457646   0.965668 -0.0357937 0.92987443
   3.1   0.457985   0.966546 -0.0366061 0.92993966
  3.11   0.458317   0.967333 -0.0373288 0.93000403
  3.12   0.458642   0.968011 -0.0379437 0.93006762
  3.13    0.45896   0.968564 -0.0384329 0.93013084
  3.14   0.459273   0.968981 -0.0387866 0.93019434
  3.15    0.45958   0.969272 -0.0390136 0.93025873
  3.16   0.459882   0.969475 -0.0391515 0.93032377
  3.17    0.46018   0.969651 -0.0392634 0.93038733
  3.18   0.460473   0.969853 -0.0394086  0.9304447
  3.19   0.460762   0.970069 -0.0395797  0.9304895
   3.2   0.461047   0.970137 -0.0396205 0.93051659
  3.21   0.461328   0.969694 -0.0391682 0.93052563
  3.22   0.461607   0.968196 -0.0376725 0.93052378
  3.23   0.461882   0.965054  -0.034528 0.93052555
  3.24   0.462155   0.959865 -0.0293159 0.93054941
  3.25   0.462425   0.952733 -0.0221101  0.9306229
  3.26   0.462693   0.944738 -0.0139284 0.93080917
  3.27    0.46296   0.938648 -0.00752001 0.93112772
  3.28   0.463224   0.938374 -0.00707351  0.9313002
  3.29   0.463487   0.945284 -0.0141985 0.93108544
   3.3   0.463748   0.955851 -0.0250321 0.93081865
  3.31   0.464008   0.965289 -0.0345061 0.93078326
  3.32   0.464267    0.97142 -0.0405186 0.93090098
  3.33   0.464525    0.97445 -0.0434055 0.93104407
  3.34   0.464782   0.976988  -0.044208 0.93277968
  3.35   0.465038   0.980644  -0.043799 0.93684491
  3.36   0.465294   0.984688 -0.0427694 0.94191875
  3.37   0.465549   0.989448  -0.041467 0.94798058
  3.38   0.465804   0.995032 -0.0400835 0.95494811
  3.39   0.466058     1.0014 -0.0387198 0.96267517
   3.4   0.466312    1.00838 -0.0374268 0.97095711
  3.41   0.466565    1.01577 -0.0362288 0.97954472
  3.42   0.466819     1.0233  -0.035137 0.98816603
  3.43   0.467071    1.03072 -0.0341569 0.99656729
  3.44   0.467324     1.0378 -0.0332911  1.0045124
  3.45   0.467575    1.04435 -0.0325406  1.0118048
  3.46   0.467827    1.05023 -0.0319048  1.0183267
  3.47   0.468077    1.05541 -0.0313811  1.0240261
  3.48   0.468327    1.05987 -0.0309642  1.0289075
  3.49   0.468575    1.06366 -0.0306453  1.0330184
   3.5   0.468823    1.06684 -0.0304117  1.0364329
  3.51   0.469069    1.06948 -0.0302452  1.0392385
  3.52   0.469313    1.07165 -0.0301209  1.0415249
  3.53   0.469555    1.07338 -0.0300048  1.0433775
  3.54   0.469794    1.07472 -0.0298514  1.0448727
  3.55   0.470031    1.07568 -0.0296012  1.0460771
  3.56   0.470264    1.07623 -0.0291808  1.0470483
  3.57   0.470494    1.07634 -0.0285093  1.0478336
  3.58   0.470719    1.07599 -0.0275156  1.0484717
  3.59   0.470938    1.07517 -0.0261752  1.0489966
   3.6   0.471152      1.074 -0.0245632  1.0494364
  3.61   0.471359    1.07271 -0.0229025  1.0498105
  3.62   0.471559    1.07168 -0.0215539  1.0501264
  3.63    0.47175    1.07128 -0.0208975  1.0503829
  3.64   0.471931    1.07172 -0.0211406  1.0505804
  3.65   0.472101    1.07292 -0.0221913  1.0507305
  3.66   0.472259    1.07457 -0.0237151  1.0508526
  3.67   0.472404    1.07628 -0.0253201   1.050962
  3.68   0.472533    1.07778 -0.0267175  1.0510653
  3.69   0.472645    1.07894 -0.0277723  1.0511628
   3.7   0.472738    1.07972 -0.0284719  1.0512527
  3.71    0.47281     1.0802 -0.0288705   1.051334
  3.72   0.472858    1.08045 -0.0290444  1.0514066
  3.73   0.472881    1.08054 -0.0290674  1.0514713
  3.74   0.472874    1.08053 -0.0290004   1.051529
  3.75   0.472837    1.08047   -0.02889  1.0515808
  3.76   0.472764     1.0804 -0.0287698  1.0516275
  3.77   0.472652    1.08033 -0.0286634  1.0516699
  3.78   0.472498     1.0803 -0.0285871  1.0517087
  3.79   0.472298     1.0803  -0.028552  1.0517443
   3.8   0.472046    1.08034 -0.0285656  1.0517772
  3.81   0.471737    1.08044 -0.0286334  1.0518075
  3.82   0.471366     1.0806 -0.0287594  1.0518357
  3.83   0.470927    1.08081 -0.0289466  1.0518618
  3.84   0.470413    1.08108 -0.0291977   1.051886
  3.85   0.469818    1.08142  -0.029515  1.0519085
  3.86   0.469132    1.08183  -0.029901  1.0519293
  3.87   0.468347    1.08231 -0.0303576  1.0519485
  3.88   0.467455    1.08285 -0.0308868  1.0519661
